,tijdstip;locatie;component;waarde;LKI
2019-01-01 01:00:00+01:00;Amsterdam-Vondelpark;CO;298,1;2
2019-01-01 01:00:00+01:00;Amsterdam-Vondelpark;NO;5,2;1
2019-01-01 01:00:00+01:00;Amsterdam-Vondelpark;O3;30,7;3
2019-01-01 01:00:00+01:00;Amsterdam-Vondelpark;FN;3,38;3
2019-01-01 01:00:00+01:00;Amsterdam-Vondelpark;PM10;425,9;11
2019-01-01 01:00:00+01:00;Amsterdam-Vondelpark;PM25;419,0;11
2019-01-01 01:00:00+01:00;Amsterdam-Vondelpark;NO2;31,9;4
2019-01-01 02:00:00+01:00;Amsterdam-Vondelpark;PM25;62,5;7
2019-01-01 02:00:00+01:00;Amsterdam-Vondelpark;O3;48,2;4
2019-01-01 02:00:00+01:00;Amsterdam-Vondelpark;FN;1,87;2
2019-01-01 02:00:00+01:00;Amsterdam-Vondelpark;NO2;19,4;2
2019-01-01 02:00:00+01:00;Amsterdam-Vondelpark;PM10;84,3;7
2019-01-01 02:00:00+01:00;Amsterdam-Vondelpark;CO;287,7;2
2019-01-01 02:00:00+01:00;Amsterdam-Vondelpark;NO;1,4;1
2019-01-01 03:00:00+01:00;Amsterdam-Vondelpark;O3;54,0;4
2019-01-01 03:00:00+01:00;Amsterdam-Vondelpark;CO;244,6;1
2019-01-01 03:00:00+01:00;Amsterdam-Vondelpark;NO;0,7;1
2019-01-01 03:00:00+01:00;Amsterdam-Vondelpark;FN;1,66;2
2019-01-01 03:00:00+01:00;Amsterdam-Vondelpark;PM10;29,6;3
2019-01-01 03:00:00+01:00;Amsterdam-Vondelpark;PM25;18,2;3
2019-01-01 03:00:00+01:00;Amsterdam-Vondelpark;NO2;12,2;2
2019-01-01 04:00:00+01:00;Amsterdam-Vondelpark;PM25;7,4;1
2019-01-01 04:00:00+01:00;Amsterdam-Vondelpark;CO;219,9;1
2019-01-01 04:00:00+01:00;Amsterdam-Vondelpark;NO;0,4;1
2019-01-01 04:00:00+01:00;Amsterdam-Vondelpark;O3;57,0;4
2019-01-01 04:00:00+01:00;Amsterdam-Vondelpark;FN;0,76;1
2019-01-01 04:00:00+01:00;Amsterdam-Vondelpark;PM10;20,3;3
2019-01-01 04:00:00+01:00;Amsterdam-Vondelpark;NO2;8,6;1
2019-01-01 05:00:00+01:00;Amsterdam-Vondelpark;CO;214,5;1
2019-01-01 05:00:00+01:00;Amsterdam-Vondelpark;NO;0,3;1
2019-01-01 05:00:00+01:00;Amsterdam-Vondelpark;O3;57,4;4
2019-01-01 05:00:00+01:00;Amsterdam-Vondelpark;FN;0,49;1
2019-01-01 05:00:00+01:00;Amsterdam-Vondelpark;PM10;22,4;3
2019-01-01 05:00:00+01:00;Amsterdam-Vondelpark;PM25;8,3;1
2019-01-01 05:00:00+01:00;Amsterdam-Vondelpark;NO2;6,9;1
2019-01-01 06:00:00+01:00;Amsterdam-Vondelpark;CO;207,9;1
2019-01-01 06:00:00+01:00;Amsterdam-Vondelpark;NO;0,3;1
2019-01-01 06:00:00+01:00;Amsterdam-Vondelpark;O3;56,6;4
2019-01-01 06:00:00+01:00;Amsterdam-Vondelpark;FN;0,43;1
2019-01-01 06:00:00+01:00;Amsterdam-Vondelpark;PM10;20,4;3
2019-01-01 06:00:00+01:00;Amsterdam-Vondelpark;PM25;9,6;1
2019-01-01 06:00:00+01:00;Amsterdam-Vondelpark;NO2;7,2;1
2019-01-01 07:00:00+01:00;Amsterdam-Vondelpark;CO;202,4;1
2019-01-01 07:00:00+01:00;Amsterdam-Vondelpark;O3;55,3;4
2019-01-01 07:00:00+01:00;Amsterdam-Vondelpark;FN;0,46;1
2019-01-01 07:00:00+01:00;Amsterdam-Vondelpark;PM10;18,9;2
2019-01-01 07:00:00+01:00;Amsterdam-Vondelpark;PM25;8,4;1
2019-01-01 07:00:00+01:00;Amsterdam-Vondelpark;NO2;9,4;1
2019-01-01 07:00:00+01:00;Amsterdam-Vondelpark;NO;0,3;1
2019-01-01 08:00:00+01:00;Amsterdam-Vondelpark;CO;200,6;1
2019-01-01 08:00:00+01:00;Amsterdam-Vondelpark;NO;0,2;1
2019-01-01 08:00:00+01:00;Amsterdam-Vondelpark;O3;57,1;4
2019-01-01 08:00:00+01:00;Amsterdam-Vondelpark;FN;0,46;1
2019-01-01 08:00:00+01:00;Amsterdam-Vondelpark;PM10;13,4;2
2019-01-01 08:00:00+01:00;Amsterdam-Vondelpark;PM25;6,4;1
2019-01-01 08:00:00+01:00;Amsterdam-Vondelpark;NO2;7,6;1
2019-01-01 09:00:00+01:00;Amsterdam-Vondelpark;O3;54,8;4
2019-01-01 09:00:00+01:00;Amsterdam-Vondelpark;CO;216,5;1
2019-01-01 09:00:00+01:00;Amsterdam-Vondelpark;NO;0,3;1
2019-01-01 09:00:00+01:00;Amsterdam-Vondelpark;FN;0,34;1
2019-01-01 09:00:00+01:00;Amsterdam-Vondelpark;PM10;17,3;2
2019-01-01 09:00:00+01:00;Amsterdam-Vondelpark;PM25;5,6;1
2019-01-01 09:00:00+01:00;Amsterdam-Vondelpark;NO2;6,7;1
2019-01-01 10:00:00+01:00;Amsterdam-Vondelpark;CO;223,2;1
2019-01-01 10:00:00+01:00;Amsterdam-Vondelpark;NO;0,3;1
2019-01-01 10:00:00+01:00;Amsterdam-Vondelpark;O3;53,1;4
2019-01-01 10:00:00+01:00;Amsterdam-Vondelpark;FN;0,34;1
2019-01-01 10:00:00+01:00;Amsterdam-Vondelpark;PM10;17,9;2
2019-01-01 10:00:00+01:00;Amsterdam-Vondelpark;PM25;4,6;1
2019-01-01 10:00:00+01:00;Amsterdam-Vondelpark;NO2;6,9;1
2019-01-01 11:00:00+01:00;Amsterdam-Vondelpark;FN;0,33;1
2019-01-01 11:00:00+01:00;Amsterdam-Vondelpark;CO;241,7;1
2019-01-01 11:00:00+01:00;Amsterdam-Vondelpark;NO;0,6;1
2019-01-01 11:00:00+01:00;Amsterdam-Vondelpark;O3;52,7;4
2019-01-01 11:00:00+01:00;Amsterdam-Vondelpark;PM10;21,9;3
2019-01-01 11:00:00+01:00;Amsterdam-Vondelpark;PM25;5,7;1
2019-01-01 11:00:00+01:00;Amsterdam-Vondelpark;NO2;15,3;2
2019-01-01 12:00:00+01:00;Amsterdam-Vondelpark;PM10;19,1;2
2019-01-01 12:00:00+01:00;Amsterdam-Vondelpark;CO;242,6;1
2019-01-01 12:00:00+01:00;Amsterdam-Vondelpark;NO;1,2;1
2019-01-01 12:00:00+01:00;Amsterdam-Vondelpark;O3;58,5;4
2019-01-01 12:00:00+01:00;Amsterdam-Vondelpark;FN;0,23;1
2019-01-01 12:00:00+01:00;Amsterdam-Vondelpark;PM25;5,0;1
2019-01-01 12:00:00+01:00;Amsterdam-Vondelpark;NO2;18,4;2
2019-01-01 13:00:00+01:00;Amsterdam-Vondelpark;CO;240,0;1
2019-01-01 13:00:00+01:00;Amsterdam-Vondelpark;NO;1,7;1
2019-01-01 13:00:00+01:00;Amsterdam-Vondelpark;O3;58,7;4
2019-01-01 13:00:00+01:00;Amsterdam-Vondelpark;FN;0,23;1
2019-01-01 13:00:00+01:00;Amsterdam-Vondelpark;PM10;27,4;3
2019-01-01 13:00:00+01:00;Amsterdam-Vondelpark;PM25;5,5;1
2019-01-01 13:00:00+01:00;Amsterdam-Vondelpark;NO2;19,4;2
2019-01-01 14:00:00+01:00;Amsterdam-Vondelpark;NO;1,4;1
2019-01-01 14:00:00+01:00;Amsterdam-Vondelpark;CO;236,3;1
2019-01-01 14:00:00+01:00;Amsterdam-Vondelpark;O3;64,9;5
2019-01-01 14:00:00+01:00;Amsterdam-Vondelpark;FN;0,18;1
2019-01-01 14:00:00+01:00;Amsterdam-Vondelpark;PM10;17,9;2
2019-01-01 14:00:00+01:00;Amsterdam-Vondelpark;PM25;6,7;1
2019-01-01 14:00:00+01:00;Amsterdam-Vondelpark;NO2;10,0;2
2019-01-01 15:00:00+01:00;Amsterdam-Vondelpark;CO;238,8;1
2019-01-01 15:00:00+01:00;Amsterdam-Vondelpark;NO;0,8;1
2019-01-01 15:00:00+01:00;Amsterdam-Vondelpark;O3;63,4;5
2019-01-01 15:00:00+01:00;Amsterdam-Vondelpark;FN;0,2;1
2019-01-01 15:00:00+01:00;Amsterdam-Vondelpark;PM10;16,0;2
2019-01-01 15:00:00+01:00;Amsterdam-Vondelpark;PM25;5,4;1
2019-01-01 15:00:00+01:00;Amsterdam-Vondelpark;NO2;9,2;1
2019-01-01 16:00:00+01:00;Amsterdam-Vondelpark;CO;250,6;2
2019-01-01 16:00:00+01:00;Amsterdam-Vondelpark;NO;0,9;1
2019-01-01 16:00:00+01:00;Amsterdam-Vondelpark;O3;60,5;5
2019-01-01 16:00:00+01:00;Amsterdam-Vondelpark;FN;0,23;1
2019-01-01 16:00:00+01:00;Amsterdam-Vondelpark;PM10;18,7;2
2019-01-01 16:00:00+01:00;Amsterdam-Vondelpark;PM25;3,9;1
2019-01-01 16:00:00+01:00;Amsterdam-Vondelpark;NO2;12,4;2
2019-01-01 17:00:00+01:00;Amsterdam-Vondelpark;NO;0,7;1
2019-01-01 17:00:00+01:00;Amsterdam-Vondelpark;CO;268,5;2
2019-01-01 17:00:00+01:00;Amsterdam-Vondelpark;FN;0,29;1
2019-01-01 17:00:00+01:00;Amsterdam-Vondelpark;PM25;3,6;1
2019-01-01 17:00:00+01:00;Amsterdam-Vondelpark;NO2;12,3;2
2019-01-01 17:00:00+01:00;Amsterdam-Vondelpark;O3;63,2;5
2019-01-01 17:00:00+01:00;Amsterdam-Vondelpark;PM10;18,5;2
2019-01-01 18:00:00+01:00;Amsterdam-Vondelpark;CO;247,5;1
2019-01-01 18:00:00+01:00;Amsterdam-Vondelpark;NO;0,6;1
2019-01-01 18:00:00+01:00;Amsterdam-Vondelpark;O3;66,5;5
2019-01-01 18:00:00+01:00;Amsterdam-Vondelpark;FN;0,39;1
2019-01-01 18:00:00+01:00;Amsterdam-Vondelpark;PM10;17,8;2
2019-01-01 18:00:00+01:00;Amsterdam-Vondelpark;PM25;3,0;1
2019-01-01 18:00:00+01:00;Amsterdam-Vondelpark;NO2;13,6;2
2019-01-01 19:00:00+01:00;Amsterdam-Vondelpark;NO;0,7;1
2019-01-01 19:00:00+01:00;Amsterdam-Vondelpark;O3;71,0;5
2019-01-01 19:00:00+01:00;Amsterdam-Vondelpark;FN;0,41;1
2019-01-01 19:00:00+01:00;Amsterdam-Vondelpark;PM10;15,7;2
2019-01-01 19:00:00+01:00;Amsterdam-Vondelpark;PM25;3,6;1
2019-01-01 19:00:00+01:00;Amsterdam-Vondelpark;NO2;11,1;2
2019-01-01 19:00:00+01:00;Amsterdam-Vondelpark;CO;242,2;1
2019-01-01 20:00:00+01:00;Amsterdam-Vondelpark;CO;243,9;1
2019-01-01 20:00:00+01:00;Amsterdam-Vondelpark;NO;0,6;1
2019-01-01 20:00:00+01:00;Amsterdam-Vondelpark;O3;70,6;5
2019-01-01 20:00:00+01:00;Amsterdam-Vondelpark;FN;0,37;1
2019-01-01 20:00:00+01:00;Amsterdam-Vondelpark;PM10;18,9;2
2019-01-01 20:00:00+01:00;Amsterdam-Vondelpark;PM25;5,6;1
2019-01-01 20:00:00+01:00;Amsterdam-Vondelpark;NO2;9,8;1
2019-01-01 21:00:00+01:00;Amsterdam-Vondelpark;CO;228,4;1
2019-01-01 21:00:00+01:00;Amsterdam-Vondelpark;NO;0,7;1
2019-01-01 21:00:00+01:00;Amsterdam-Vondelpark;O3;73,9;5
2019-01-01 21:00:00+01:00;Amsterdam-Vondelpark;FN;0,28;1
2019-01-01 21:00:00+01:00;Amsterdam-Vondelpark;PM10;24,9;3
2019-01-01 21:00:00+01:00;Amsterdam-Vondelpark;PM25;8,1;1
